category(Category|shortcode),name,description,gradeband(Gradeband|pk),shortcode
CPP,Describe how mathematical and statistical function,"Describe how mathematical and statistical functions, sets, and logic are used in computation.",5,12
CT,"Use predefined functions and parameters, classes a","Use predefined functions and parameters, classes and methods to divide a complex problem into simpler parts.",5,01
CT,Describe a software development process used to so,"Describe a software development process used to solve software problems (e.g., design, coding, testing, verification).",5,02
CT,"Explain how sequence, selection, iteration, and re","Explain how sequence, selection, iteration, and recursion are building blocks of algorithms.",5,03
CT,Compare techniques for analyzing massive data coll,Compare techniques for analyzing massive data collections.,5,04
CT,Describe the relationship between binary and hexad,Describe the relationship between binary and hexadecimal representations.,5,05
CT,Analyze the representation and trade-offs among va,Analyze the representation and trade-offs among various forms of digital information.,5,06
CT,Describe how various types of data are stored in a,Describe how various types of data are stored in a computer system.,5,07
CT,Use modeling and simulation to represent and under,Use modeling and simulation to represent and understand natural phenomena.,5,08
CT,Discuss the value of abstraction to manage problem,Discuss the value of abstraction to manage problem complexity.,5,09
CT,Describe the concept of parallel processing as a s,Describe the concept of parallel processing as a strategy to solve large problems.,5,10
CT,Describe how computation shares features with art ,Describe how computation shares features with art and music by translating human intention into an artifact.,5,11
CL,"Use project collaboration tools, version control s","Use project collaboration tools, version control systems, and Integrated Development Environments (IDEs) while working on a collaborative software project.",6,01
CL,Demonstrate the software life cycle process by par,Demonstrate the software life cycle process by participating on a software project team.,6,02
CL,Evaluate programs written by others for readabilit,Evaluate programs written by others for readability and usability.,6,03
CD,Discuss the impact of modifications on the functio,Discuss the impact of modifications on the functionality of application programs.,6,01
CD,"Identify and describe hardware (e.g., physical lay","Identify and describe hardware (e.g., physical layers, logic gates, chips, components).",6,02
CD,Identify and select the most appropriate file form,"Identify and select the most appropriate file format based on trade-offs (e.g., accuracy, speed, ease of manipulation).",6,03
CD,Describe the issues that impact network functional,"Describe the issues that impact network functionality (e.g., latency, bandwidth, firewalls, server capability).",6,04
CD,Explain the notion of intelligent behavior through,Explain the notion of intelligent behavior through computer modeling and robotics.,6,05
CI,Demonstrate ethical use of modern communication me,Demonstrate ethical use of modern communication media and devices.,6,01
CI,Analyze the beneficial and harmful effects of comp,Analyze the beneficial and harmful effects of computing innovations.,6,02
CI,"Summarize how financial markets, transactions, and","Summarize how financial markets, transactions, and predictions have been transformed by automation.",6,03
CI,Summarize how computation has revolutionized the w,Summarize how computation has revolutionized the way people build real and virtual organizations and infrastructures.,6,04
CI,Identify laws and regulations that impact the deve,Identify laws and regulations that impact the development and use of software.,6,05
CI,Analyze the impact of government regulation on pri,Analyze the impact of government regulation on privacy and security.,6,06
CI,"Differentiate among open source, freeware, and pro","Differentiate among open source, freeware, and proprietary software licenses and their applicability to different types of software.",6,07
CI,"Relate issues of equity, access, and power to the ","Relate issues of equity, access, and power to the distribution of computing resources in a global society.",6,08
CPP,Use advanced tools to create digital artifacts (e.,"Use advanced tools to create digital artifacts (e.g., web design, animation, video, multimedia).",6,01
CPP,Use tools of abstraction to decompose a large-scal,"Use tools of abstraction to decompose a large-scale computational problem (e.g., procedural abstraction, object-oriented design, functional design).",6,02
CPP,Classify programming languages based on their leve,Classify programming languages based on their level and application domain.,6,03
CPP,"Explore principles of system design in scaling, ef","Explore principles of system design in scaling, efficiency, and security.",6,04
CPP,Deploy principles of security by implementing encr,Deploy principles of security by implementing encryption and authentication strategies.,6,05
CPP,Anticipate future careers and the technologies tha,Anticipate future careers and the technologies that will exist.,6,06
CPP,Use data analysis to enhance understanding of comp,Use data analysis to enhance understanding of complex natural and human systems.,6,07
CPP,Deploy various data collection techniques for diff,Deploy various data collection techniques for different types of problems.,6,08
CT,"Classify problems as tractable, intractable, or co","Classify problems as tractable, intractable, or computationally unsolvable.",6,01
CT,Explain the value of heuristic algorithms to appro,Explain the value of heuristic algorithms to approximate solutions for intractable problems.,6,02
CT,Critically examine classical algorithms and implem,Critically examine classical algorithms and implement an original algorithm.,6,03
CT,"Evaluate algorithms by their efficiency, correctne","Evaluate algorithms by their efficiency, correctness, and clarity.",6,04
CT,Use data analysis to enhance understanding of comp,Use data analysis to enhance understanding of complex natural and human systems.,6,05
CT,Compare and contrast simple data structures and th,"Compare and contrast simple data structures and their uses (e.g., arrays and lists).",6,06
CT,Discuss the interpretation of binary sequences in ,"Discuss the interpretation of binary sequences in a variety of forms (e.g., instructions, numbers, text, sound, image).",6,07
CT,"Use models and simulations to help formulate, refi","Use models and simulations to help formulate, refine, and test scientific hypotheses.",6,08
CT,Analyze data and identify patterns through modelin,Analyze data and identify patterns through modeling and simulation.,6,09
CT,Decompose a problem by defining new functions and ,Decompose a problem by defining new functions and classes.,6,10
CT,Demonstrate concurrency by separating processes in,Demonstrate concurrency by separating processes into threads and dividing data into parallel streams.,6,11
CL,Gather information and communicate electronically ,"Gather information and communicate electronically with others with support from teachers, family members or student partners.",1,3-01
CL,"Work cooperatively and collaboratively with peers,","Work cooperatively and collaboratively with peers, teachers and others using technology.",1,3-02
CD,Use standard input and output devices to successfu,Use standard input and output devices to successfully operate computers and related technologies.,1,3-01
CI,Practice responsible digital citizenship (legal an,Practice responsible digital citizenship (legal and ethical behaviors) in the use of technology systems and software.,1,3-01
CI,Identify positive and negative social and ethical ,Identify positive and negative social and ethical behaviors for using technology.,1,3-02
CPP,Use technology resources to conduct age-appropriat,Use technology resources to conduct age-appropriate research.,1,3-01
CPP,Use developmentally appropriate multimedia resourc,"Use developmentally appropriate multimedia resources (e.g., interactive books and educational software) to support learning across the curriculum.",1,3-02
CPP,Create developmentally appropriate multimedia prod,"Create developmentally appropriate multimedia products with support from teachers, family members or student partners.",1,3-03
CPP,Construct a set of statements to be acted out to a,"Construct a set of statements to be acted out to accomplish a simple task (e.g., turtle instructions).",1,3-04
CPP,Identify jobs that use computing and technology.,Identify jobs that use computing and technology.,1,3-05
CPP,Gather and organize information using concept-mapp,Gather and organize information using concept-mapping tools.,1,3-06
CT,Recognize that software is created to control comp,Recognize that software is created to control computer operations.,1,3-01
CT,Demonstrate how 0s and 1s can be used to represent,Demonstrate how 0s and 1s can be used to represent information.,1,3-02
