"id_s!","family_s*","family_short_s","gradeband_s*","category_s","desc_t","band","code"
"1.RI.4","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.","1",
"1.RI.5","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.","1",
"1.RI.6","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.","1",
"1.RI.7","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Use the illustrations and details in a text to describe its key ideas.","1",
"1.RI.8","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Identify the reasons an author gives to support points in a text.","1",
"1.RI.9","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).","1",
"1.RL.1","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Ask and answer questions about key details in a text.","1",
"1.RL.10","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","With prompting and support, read prose and poetry of appropriate complexity for grade 1.","1",
"1.RL.2","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Retell stories, including key details, and demonstrate understanding of their central message or lesson.","1",
"1.RL.3","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Describe characters, settings, and major events in a story, using key details.","1",
"1.RL.4","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.","1",
"1.RL.5","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.","1",
"1.RL.6","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Identify who is telling the story at various points in a text.","1",
"1.RL.7","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Use illustrations and details in a story to describe its characters, setting, or events.","1",
"1.RL.8","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","(Not applicable to literature)","1",
"1.RL.9","Common Core English Language Arts Standards","CC ELA","K-2","Reading Literature","Compare and contrast the adventures and experiences of characters in stories.","1",
"1.SL.1","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.","1",
"1.SL.1.a","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).","1",
"1.SL.1.b","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.","1",
"1.SL.1.c","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Ask questions to clear up any confusion about the topics and texts under discussion.","1",
"1.SL.2","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Ask and answer questions about key details in a text read aloud or information presented orally or through other media.","1",
"1.SL.3","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.","1",
"1.SL.4","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.","1",
"1.SL.5","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.","1",
"1.SL.6","Common Core English Language Arts Standards","CC ELA","K-2","Speaking & Listening","Produce complete sentences when appropriate to task and situation.","1",
"1.W.1","Common Core English Language Arts Standards","CC ELA","K-2","Writing","Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure.","1",
"1.W.10","Common Core English Language Arts Standards","CC ELA","K-2","Writing","(Begins in grade 3)","1",
"1.W.2","Common Core English Language Arts Standards","CC ELA","K-2","Writing","Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure.","1",
"1.W.3","Common Core English Language Arts Standards","CC ELA","K-2","Writing","Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.","1",
"1.W.4","Common Core English Language Arts Standards","CC ELA","K-2","Writing","(Begins in grade 3)","1",
"1.W.5","Common Core English Language Arts Standards","CC ELA","K-2","Writing","With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed.","1",
"1.W.6","Common Core English Language Arts Standards","CC ELA","K-2","Writing","With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.","1",
"1.W.7","Common Core English Language Arts Standards","CC ELA","K-2","Writing","Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions).","1",
"1.W.8","Common Core English Language Arts Standards","CC ELA","K-2","Writing","With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.","1",
"1.W.9","Common Core English Language Arts Standards","CC ELA","K-2","Writing","(Begins in grade 4)","1",
"11-12.L.1","Common Core English Language Arts Standards","CC ELA","9-12","Language","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","11-12",
"11-12.L.1.a","Common Core English Language Arts Standards","CC ELA","9-12","Language","Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.","11-12",
"11-12.L.1.b","Common Core English Language Arts Standards","CC ELA","9-12","Language","Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster’s Dictionary of English Usage, Garner’s Modern American Usage) as needed.","11-12",
"11-12.L.2","Common Core English Language Arts Standards","CC ELA","9-12","Language","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","11-12",
"11-12.L.2.a","Common Core English Language Arts Standards","CC ELA","9-12","Language","Observe hyphenation conventions.","11-12",
"11-12.L.2.b","Common Core English Language Arts Standards","CC ELA","9-12","Language","Spell correctly.","11-12",
"11-12.L.3","Common Core English Language Arts Standards","CC ELA","9-12","Language","Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.","11-12",
"11-12.L.3.a","Common Core English Language Arts Standards","CC ELA","9-12","Language","Vary syntax for effect, consulting references (e.g., Tufte’s Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.","11-12",
"11-12.L.4","Common Core English Language Arts Standards","CC ELA","9-12","Language","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11–12 reading and content, choosing flexibly from a range of strategies.","11-12",
"11-12.L.4.a","Common Core English Language Arts Standards","CC ELA","9-12","Language","Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.","11-12",
"11-12.L.4.b","Common Core English Language Arts Standards","CC ELA","9-12","Language","Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).","11-12",
"11-12.L.4.c","Common Core English Language Arts Standards","CC ELA","9-12","Language","Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.","11-12",
"11-12.L.4.d","Common Core English Language Arts Standards","CC ELA","9-12","Language","Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).","11-12",
"11-12.L.5","Common Core English Language Arts Standards","CC ELA","9-12","Language","Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.","11-12",
"11-12.L.5.a","Common Core English Language Arts Standards","CC ELA","9-12","Language","Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.","11-12",
"11-12.L.5.b","Common Core English Language Arts Standards","CC ELA","9-12","Language","Analyze nuances in the meaning of words with similar denotations.","11-12",
"11-12.L.6","Common Core English Language Arts Standards","CC ELA","9-12","Language","Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.","11-12",
"11-12.RH.1","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Cite specific textual evidence to support analysis of primary and secondary sources, connecting insights gained from specific details to an understanding of the text as a whole.","11-12",
"11-12.RH.10","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","By the end of grade 12, read and comprehend history/social studies texts in the grades 11–CCR text complexity band independently and proficiently.","11-12",
"11-12.RH.2","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Determine the central ideas or information of a primary or secondary source; provide an accurate summary that makes clear the relationships among the key details and ideas.","11-12",
"11-12.RH.3","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Evaluate various explanations for actions or events and determine which explanation best accords with textual evidence, acknowledging where the text leaves matters uncertain.","11-12",
"11-12.RH.4","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Determine the meaning of words and phrases as they are used in a text, including analyzing how an author uses and refines the meaning of a key term over the course of a text (e.g., how Madison defines faction in Federalist No. 10).","11-12",
"11-12.RH.5","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Analyze in detail how a complex primary source is structured, including how key sentences, paragraphs, and larger portions of the text contribute to the whole.","11-12",
"11-12.RH.6","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Evaluate authors’ differing points of view on the same historical event or issue by assessing the authors’ claims, reasoning, and evidence.","11-12",
"11-12.RH.7","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, as well as in words) in order to address a question or solve a problem.","11-12",
"11-12.RH.8","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Evaluate an author’s premises, claims, and evidence by corroborating or challenging them with other information.","11-12",
"11-12.RH.9","Common Core English Language Arts Standards","CC ELA","9-12","Reading History/Social Studies","Integrate information from diverse sources, both primary and secondary, into a coherent understanding of an idea or event, noting discrepancies among sources.","11-12",
"11-12.RI.1","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.","11-12",
"11-12.RI.10","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.","11-12",
"11-12.RI.2","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text.","11-12",
"11-12.RI.3","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text.","11-12",
"11-12.RI.4","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10).","11-12",
"11-12.RI.5","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.","11-12",
"11-12.RI.6","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Determine an author’s point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness or beauty of the text.","11-12",
"11-12.RI.7","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem.","11-12",
"11-12.RI.8","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning (e.g., in U.S. Supreme Court majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses).","11-12",
"11-12.RI.9","Common Core English Language Arts Standards","CC ELA","9-12","Reading Informational","Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln’s Second Inaugural Address) for their themes, purposes, and rhetorical features.","11-12",
"11-12.RL.1","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.","11-12",
"11-12.RL.10","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.","11-12",
"11-12.RL.2","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text.","11-12",
"11-12.RL.3","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).","11-12",
"11-12.RL.4","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors.)","11-12",
"11-12.RL.5","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Analyze how an author’s choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact.","11-12",
"11-12.RL.6","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement).","11-12",
"11-12.RL.7","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)","11-12",
"11-12.RL.8","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","(Not applicable to literature)","11-12",
"11-12.RL.9","Common Core English Language Arts Standards","CC ELA","9-12","Reading Literature","Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics.","11-12",
"11-12.RST.1","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account.","11-12",
"11-12.RST.10","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","By the end of grade 12, read and comprehend science/technical texts in the grades 11–12 text complexity band independently and proficiently.","11-12",
"11-12.RST.2","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms.","11-12",
"11-12.RST.3","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text.","11-12",
"11-12.RST.4","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11–12 texts and topics.","11-12",
"11-12.RST.5","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas.","11-12",
"11-12.RST.6","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved.","11-12",
"11-12.RST.7","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem.","11-12",
"11-12.RST.8","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information.","11-12",
"11-12.RST.9","Common Core English Language Arts Standards","CC ELA","9-12","Reading Science/Technical","Synthesize information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible.","11-12",
"11-12.SL.1","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 11–12 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively.","11-12",
"11-12.SL.1.a","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.","11-12",
"11-12.SL.1.b","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Work with peers to promote civil, democratic discussions and decision-making, set clear goals and deadlines, and establish individual roles as needed.","11-12",
"11-12.SL.1.c","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Propel conversations by posing and responding to questions that probe reasoning and evidence; ensure a hearing for a full range of positions on a topic or issue; clarify, verify, or challenge ideas and conclusions; and promote divergent and creative perspectives.","11-12",
"11-12.SL.1.d","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Respond thoughtfully to diverse perspectives; synthesize comments, claims, and evidence made on all sides of an issue; resolve contradictions when possible; and determine what additional information or research is required to deepen the investigation or complete the task.","11-12",
"11-12.SL.2","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Integrate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, orally) in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data.","11-12",
"11-12.SL.3","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used.","11-12",
"11-12.SL.4","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks.","11-12",
"11-12.SL.5","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.","11-12",
"11-12.SL.6","Common Core English Language Arts Standards","CC ELA","9-12","Speaking & Listening","Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate.","11-12",
"11-12.W.1","Common Core English Language Arts Standards","CC ELA","9-12","Writing","Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.","11-12",
"11-12.W.1.a","Common Core English Language Arts Standards","CC ELA","9-12","Writing","Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences claim(s), counterclaims, reasons, and evidence.","11-12",
"11-12.W.1.b","Common Core English Language Arts Standards","CC ELA","9-12","Writing","Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant evidence for each while pointing out the strengths and limitations of both in a manner that anticipates the audience’s knowledge level, concerns, values, and possible biases.","11-12",
"11-12.W.1.c","Common Core English Language Arts Standards","CC ELA","9-12","Writing","Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.","11-12",
"11-12.W.1.d","Common Core English Language Arts Standards","CC ELA","9-12","Writing","Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.","11-12",
"11-12.W.1.e","Common Core English Language Arts Standards","CC ELA","9-12","Writing","Provide a concluding statement or section that follows from and supports the argument presented.","11-12",
