"shortcode","framework","category","name","gradeband"
"11-12.L.1.b",3,12,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster’s Dictionary of English Usage, Garner’s Modern American Usage) as needed.",19
"11-12.L.2",3,12,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",19
"11-12.L.2.a",3,12,"Observe hyphenation conventions.",19
"11-12.L.2.b",3,12,"Spell correctly.",19
"11-12.L.3",3,12,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",19
"11-12.L.3.a",3,12,"Vary syntax for effect, consulting references (e.g., Tufte’s Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",19
"11-12.L.4",3,12,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11–12 reading and content, choosing flexibly from a range of strategies.",19
"11-12.L.4.a",3,12,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.",19
"11-12.L.4.b",3,12,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).",19
"11-12.L.4.c",3,12,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",19
"11-12.L.4.d",3,12,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",19
"11-12.L.5",3,12,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",19
"11-12.L.5.a",3,12,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",19
"11-12.L.5.b",3,12,"Analyze nuances in the meaning of words with similar denotations.",19
"11-12.L.6",3,12,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",19
"11-12.RH.1",3,14,"Cite specific textual evidence to support analysis of primary and secondary sources, connecting insights gained from specific details to an understanding of the text as a whole.",19
"11-12.RH.10",3,14,"By the end of grade 12, read and comprehend history/social studies texts in the grades 11–CCR text complexity band independently and proficiently.",19
"11-12.RH.2",3,14,"Determine the central ideas or information of a primary or secondary source; provide an accurate summary that makes clear the relationships among the key details and ideas.",19
"11-12.RH.3",3,14,"Evaluate various explanations for actions or events and determine which explanation best accords with textual evidence, acknowledging where the text leaves matters uncertain.",19
"11-12.RH.4",3,14,"Determine the meaning of words and phrases as they are used in a text, including analyzing how an author uses and refines the meaning of a key term over the course of a text (e.g., how Madison defines faction in Federalist No. 10).",19
"11-12.RH.5",3,14,"Analyze in detail how a complex primary source is structured, including how key sentences, paragraphs, and larger portions of the text contribute to the whole.",19
"11-12.RH.6",3,14,"Evaluate authors’ differing points of view on the same historical event or issue by assessing the authors’ claims, reasoning, and evidence.",19
"11-12.RH.7",3,14,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, as well as in words) in order to address a question or solve a problem.",19
"11-12.RH.8",3,14,"Evaluate an author’s premises, claims, and evidence by corroborating or challenging them with other information.",19
"11-12.RH.9",3,14,"Integrate information from diverse sources, both primary and secondary, into a coherent understanding of an idea or event, noting discrepancies among sources.",19
"11-12.RI.1",3,15,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",19
"11-12.RI.10",3,15,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.",19
"11-12.RI.2",3,15,"Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text.",19
"11-12.RI.3",3,15,"Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text.",19
"11-12.RI.4",3,15,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10).",19
"11-12.RI.5",3,15,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.",19
"11-12.RI.6",3,15,"Determine an author’s point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness or beauty of the text.",19
"11-12.RI.7",3,15,"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem.",19
"11-12.RI.8",3,15,"Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning (e.g., in U.S. Supreme Court majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses).",19
"11-12.RI.9",3,15,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln’s Second Inaugural Address) for their themes, purposes, and rhetorical features.",19
"11-12.RL.1",3,16,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain.",19
"11-12.RL.10",3,16,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.",19
"11-12.RL.2",3,16,"Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text.",19
"11-12.RL.3",3,16,"Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).",19
"11-12.RL.4",3,16,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors.)",19
"11-12.RL.5",3,16,"Analyze how an author’s choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact.",19
"11-12.RL.6",3,16,"Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement).",19
"11-12.RL.7",3,16,"Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)",19
"11-12.RL.8",3,16,"(Not applicable to literature)",19
"11-12.RL.9",3,16,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics.",19
"11-12.RST.1",3,17,"Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account.",19
"11-12.RST.10",3,17,"By the end of grade 12, read and comprehend science/technical texts in the grades 11–12 text complexity band independently and proficiently.",19
"11-12.RST.2",3,17,"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms.",19
"11-12.RST.3",3,17,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text.",19
"11-12.RST.4",3,17,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11–12 texts and topics.",19
"11-12.RST.5",3,17,"Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas.",19
"11-12.RST.6",3,17,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved.",19
"11-12.RST.7",3,17,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem.",19
"11-12.RST.8",3,17,"Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information.",19
"11-12.RST.9",3,17,"Synthesize information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible.",19
"11-12.SL.1",3,18,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 11–12 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively.",19
"11-12.SL.1.a",3,18,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.",19
"11-12.SL.1.b",3,18,"Work with peers to promote civil, democratic discussions and decision-making, set clear goals and deadlines, and establish individual roles as needed.",19
"11-12.SL.1.c",3,18,"Propel conversations by posing and responding to questions that probe reasoning and evidence; ensure a hearing for a full range of positions on a topic or issue; clarify, verify, or challenge ideas and conclusions; and promote divergent and creative perspectives.",19
"11-12.SL.1.d",3,18,"Respond thoughtfully to diverse perspectives; synthesize comments, claims, and evidence made on all sides of an issue; resolve contradictions when possible; and determine what additional information or research is required to deepen the investigation or complete the task.",19
"11-12.SL.2",3,18,"Integrate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, orally) in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data.",19
"11-12.SL.3",3,18,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used.",19
"11-12.SL.4",3,18,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks.",19
"11-12.SL.5",3,18,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",19
"11-12.SL.6",3,18,"Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate.",19
"11-12.W.1",3,19,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",19
"11-12.W.1.a",3,19,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences claim(s), counterclaims, reasons, and evidence.",19
"11-12.W.1.b",3,19,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant evidence for each while pointing out the strengths and limitations of both in a manner that anticipates the audience’s knowledge level, concerns, values, and possible biases.",19
"11-12.W.1.c",3,19,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",19
"11-12.W.1.d",3,19,"Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.",19
"11-12.W.1.e",3,19,"Provide a concluding statement or section that follows from and supports the argument presented.",19
"11-12.W.10",3,19,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes",19
"11-12.W.2",3,19,"Write informative/explanatory texts to examine and convey complex ideas, concepts, and information clearly and accurately through the effective selection, organization, and analysis of content.",19
"11-12.W.2.a",3,19,"Introduce a topic; organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",19
"11-12.W.2.b",3,19,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",19
"11-12.W.2.c",3,19,"Use appropriate and varied transitions and syntax to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",19
"11-12.W.2.d",3,19,"Use precise language, domain-specific vocabulary, and techniques such as metaphor, simile, and analogy to manage the complexity of the topic.",19
"11-12.W.2.e",3,19,"Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.",19
"11-12.W.2.f",3,19,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",19
"11-12.W.3",3,19,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",19
"11-12.W.3.a",3,19,"Engage and orient the reader by setting out a problem, situation, or observation and its significance, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events.",19
"11-12.W.3.b",3,19,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters.",19
"11-12.W.3.c",3,19,"Use a variety of techniques to sequence events so that they build on one another to create a coherent whole and build toward a particular tone and outcome (e.g., a sense of mystery, suspense, growth, or resolution).",19
"11-12.W.3.d",3,19,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters.",19
"11-12.W.3.e",3,19,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative.",19
"11-12.W.4",3,19,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)",19
"11-12.W.5",3,19,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",19
"11-12.W.6",3,19,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",19
"11-12.W.7",3,19,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",19
"11-12.W.8",3,19,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and overreliance on any one source and following a standard format for citation.",19
"11-12.W.9",3,19,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",19
"11-12.W.9.a",3,19,"Apply grades 11–12 Reading standards to literature (e.g., “Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics”).",19
"11-12.W.9.b",3,19,"Apply grades 11–12 Reading standards to literary nonfiction (e.g., “Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning [e.g., in U.S. Supreme Court Case majority opinions and dissents] and the premises, purposes, and arguments in works of public advocacy [e.g., The Federalist, presidential addresses]”).",19
"11-12.WHST.1",3,20,"Write arguments focused on discipline-specific content.",19
"11-12.WHST.1.a",3,20,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences the claim(s), counterclaims, reasons, and evidence.",19
"11-12.WHST.1.b",3,20,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a discipline-appropriate form that anticipates the audience’s knowledge level, concerns, values, and possible biases.",19
"11-12.WHST.1.c",3,20,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",19
"11-12.WHST.1.d",3,20,"Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.",19
"11-12.WHST.1.e",3,20,"Provide a concluding statement or section that follows from or supports the argument presented.",19
"11-12.WHST.10",3,20,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",19
"11-12.WHST.2",3,20,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.",19
"11-12.WHST.2.a",3,20,"Introduce a topic and organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",19
"11-12.WHST.2.b",3,20,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",19
"11-12.WHST.2.c",3,20,"Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",19
"11-12.WHST.2.d",3,20,"Use precise language, domain-specific vocabulary and techniques such as metaphor, simile, and analogy to manage the complexity of the topic; convey a knowledgeable stance in a style that responds to the discipline and context as well as to the expertise of likely readers.",19
"11-12.WHST.2.e",3,20,"Provide a concluding statement or section that follows from and supports the information or explanation provided (e.g., articulating implications or the significance of the topic).",19
"11-12.WHST.3",3,20,"(See note; not applicable as a separate requirement)",19
"11-12.WHST.4",3,20,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",19
"11-12.WHST.5",3,20,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",19
"11-12.WHST.6",3,20,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",19
"11-12.WHST.7",3,20,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",19
"11-12.WHST.8",3,20,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the specific task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and overreliance on any one source and following a standard format for citation.",19
"11-12.WHST.9",3,20,"Draw evidence from informational texts to support analysis, reflection, and research.",19
"2.L.1",3,12,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.",10
"2.L.1.a",3,12,"Use collective nouns (e.g., group).",10
"2.L.1.b",3,12,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish).",10
"2.L.1.c",3,12,"Use reflexive pronouns (e.g., myself, ourselves).",10
"2.L.1.d",3,12,"Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told).",10
"2.L.1.e",3,12,"Use adjectives and adverbs, and choose between them depending on what is to be modified.",10
"2.L.1.f",3,12,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy).",10
"2.L.2",3,12,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",10
"2.L.2.a",3,12,"Capitalize holidays, product names, and geographic names.",10
"2.L.2.b",3,12,"Use commas in greetings and closings of letters.",10
"2.L.2.c",3,12,"Use an apostrophe to form contractions and frequently occurring possessives.",10
"2.L.2.d",3,12,"Generalize learned spelling patterns when writing words (e.g., cage _ badge; boy _ boil).",10
"2.L.2.e",3,12,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",10
"2.L.3",3,12,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",10
"2.L.3.a",3,12,"Compare formal and informal uses of English.",10
"2.L.4",3,12,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies.",10
"2.L.4.a",3,12,"Use sentence-level context as a clue to the meaning of a word or phrase.",10
"2.L.4.b",3,12,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell).",10
"2.L.4.c",3,12,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional).",10
"2.L.4.d",3,12,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark).",10
"2.L.4.e",3,12,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases.",10
"2.L.5",3,12,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",10
"2.L.5.a",3,12,"Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy).",10
